county,state,low,med,high
Idaho,ID,0.25,0.19,0.12
Jefferson,ID,0.27,0.20,0.13
Jerome,ID,0.28,0.20,0.13
Kootenai,ID,0.25,0.19,0.13
Latah,ID,0.25,0.19,0.12
Lemhi,ID,0.25,0.19,0.12
Lewis,ID,0.25,0.19,0.12
Lincoln,ID,0.28,0.20,0.13
Madison,ID,0.27,0.20,0.13
Minidoka,ID,0.28,0.20,0.13
Nez Perce,ID,0.25,0.19,0.12
Oneida,ID,0.27,0.20,0.13
Owyhee,ID,0.26,0.19,0.12
Payette,ID,0.22,0.17,0.11
Power,ID,0.27,0.20,0.13
Shoshone,ID,0.25,0.19,0.12
Teton,ID,0.27,0.20,0.13
Twin Falls,ID,0.27,0.20,0.13
Valley,ID,0.25,0.19,0.12
Washington,ID,0.22,0.17,0.11
Adams,IL,0.16,0.10,0.06
Alexander,IL,0.17,0.10,0.07
Bond,IL,0.17,0.10,0.06
Boone,IL,0.15,0.09,0.05
Brown,IL,0.16,0.10,0.06
Bureau,IL,0.15,0.09,0.05
Calhoun,IL,0.17,0.10,0.06
Carroll,IL,0.15,0.09,0.05
Cass,IL,0.17,0.10,0.06
Champaign,IL,0.14,0.08,0.05
Christian,IL,0.16,0.10,0.06
Clark,IL,0.17,0.11,0.07
Clay,IL,0.17,0.11,0.07
Clinton,IL,0.17,0.10,0.06
Coles,IL,0.16,0.10,0.06
Cook,IL,0.13,0.07,0.04
Crawford,IL,0.17,0.11,0.07
Cumberland,IL,0.16,0.10,0.06
DeKalb,IL,0.14,0.08,0.05
De Witt,IL,0.16,0.10,0.06
Douglas,IL,0.16,0.10,0.06
DuPage,IL,0.10,0.06,0.04
Edgar,IL,0.16,0.10,0.06
Edwards,IL,0.17,0.10,0.07
Effingham,IL,0.17,0.10,0.06
Fayette,IL,0.17,0.10,0.06
Ford,IL,0.18,0.11,0.07
Franklin,IL,0.17,0.10,0.06
Fulton,IL,0.16,0.10,0.06
Gallatin,IL,0.17,0.10,0.07
Greene,IL,0.17,0.10,0.06
Grundy,IL,0.12,0.08,0.05
Hamilton,IL,0.17,0.10,0.07
Hancock,IL,0.16,0.10,0.06
Hardin,IL,0.17,0.10,0.07
Henderson,IL,0.16,0.10,0.06
Henry,IL,0.16,0.10,0.06
Iroquois,IL,0.18,0.11,0.07
Jackson,IL,0.17,0.10,0.06
Jasper,IL,0.17,0.11,0.07
Jefferson,IL,0.17,0.10,0.06
Jersey,IL,0.17,0.10,0.06
Jo Daviess,IL,0.15,0.09,0.05
Johnson,IL,0.17,0.10,0.07
Kane,IL,0.13,0.07,0.04
Kankakee,IL,0.16,0.10,0.06
Kendall,IL,0.12,0.08,0.05
Knox,IL,0.15,0.09,0.05
Lake,IL,0.12,0.07,0.04
La Salle,IL,0.16,0.10,0.06
Lawrence,IL,0.17,0.11,0.07
Lee,IL,0.15,0.09,0.05
Livingston,IL,0.18,0.11,0.07
Logan,IL,0.16,0.10,0.06
McDonough,IL,0.16,0.10,0.06
McHenry,IL,0.13,0.08,0.05
McLean,IL,0.14,0.08,0.05
Macon,IL,0.17,0.10,0.06
Macoupin,IL,0.17,0.10,0.06
Madison,IL,0.14,0.09,0.05
Marion,IL,0.17,0.10,0.06
Marshall,IL,0.15,0.09,0.05
Mason,IL,0.16,0.10,0.06
Massac,IL,0.17,0.10,0.07
Menard,IL,0.16,0.10,0.06
Mercer,IL,0.16,0.10,0.06
Monroe,IL,0.17,0.10,0.06
Montgomery,IL,0.17,0.10,0.06
Morgan,IL,0.17,0.10,0.06
Moultrie,IL,0.16,0.10,0.06
Ogle,IL,0.15,0.09,0.05
Peoria,IL,0.15,0.09,0.05
Perry,IL,0.17,0.10,0.06
Piatt,IL,0.16,0.10,0.06
Pike,IL,0.16,0.10,0.06
Pope,IL,0.17,0.10,0.07
