st_cty,vac_rate
KY Calloway County,40.4
KY Campbell County,58.5
KY Carlisle County,31.2
KY Carroll County,42.5
KY Carter County,37.2
KY Casey County,28.9
KY Christian County,26.7
KY Clark County,50
KY Clay County,34
KY Clinton County,29.4
KY Crittenden County,31.1
KY Cumberland County,33.5
KY Daviess County,46.2
KY Edmonson County,31.9
KY Elliott County,27.9
KY Estill County,41.4
KY Fayette County,65.9
KY Fleming County,39.6
KY Floyd County,44.7
KY Franklin County,66.9
KY Fulton County,46.4
KY Gallatin County,34.1
KY Garrard County,41.1
KY Grant County,42.4
KY Graves County,36.1
KY Grayson County,41.2
KY Green County,34.7
KY Greenup County,39.8
KY Hancock County,49.7
KY Hardin County,53.4
KY Harlan County,36.1
KY Harrison County,41.6
KY Hart County,29.7
KY Henderson County,41.7
KY Henry County,47.9
KY Hickman County,30.3
KY Hopkins County,42.6
KY Jackson County,27.7
KY Jefferson County,60.2
KY Jessamine County,50
KY Johnson County,38.5
KY Kenton County,56.4
KY Knott County,38.4
KY Knox County,29
KY Larue County,35.8
KY Laurel County,33
KY Lawrence County,37.2
KY Lee County,40
KY Leslie County,43.2
KY Letcher County,42.6
KY Lewis County,26.9
KY Lincoln County,34.3
KY Livingston County,40.8
KY Logan County,42.2
KY Lyon County,51.9
KY Madison County,43.6
KY Magoffin County,37.9
KY Marion County,43.4
KY Marshall County,45.4
KY Martin County,42.7
KY Mason County,43
KY McCracken County,46.8
KY McCreary County,34.5
KY McLean County,41.4
KY Meade County,35.7
KY Menifee County,37.1
KY Mercer County,48.3
KY Metcalfe County,31.2
KY Monroe County,36.6
KY Montgomery County,41.3
KY Morgan County,40
KY Muhlenberg County,43
KY Nelson County,50.3
KY Nicholas County,43.8
KY Ohio County,32.9
KY Oldham County,53.2
KY Owen County,32.2
KY Owsley County,34.9
KY Pendleton County,38.1
KY Perry County,49.4
KY Pike County,42.1
KY Powell County,44.3
KY Pulaski County,41.5
KY Robertson County,31.9
KY Rockcastle County,31
KY Rowan County,42.8
KY Russell County,38.8
KY Scott County,55.5
KY Shelby County,44.5
KY Simpson County,44
KY Spencer County,23.8
KY Taylor County,43.5
KY Todd County,32.6
KY Trigg County,40.7
KY Trimble County,38.5
KY Union County,32
KY Unknown County,0
KY Warren County,39.2
KY Washington County,44.5
KY Wayne County,31.9
KY Webster County,36.3
KY Whitley County,35.8
KY Wolfe County,42.9
KY Woodford County,67.9
LA Acadia Parish,39.2
LA Allen Parish,27.6
LA Ascension Parish,39.3
LA Assumption Parish,33.7
LA Avoyelles Parish,33.5
LA Beauregard Parish,25.9
LA Bienville Parish,37.8
LA Bossier Parish,36.6
LA Caddo Parish,38.7
LA Calcasieu Parish,32.6
LA Caldwell Parish,30.4
LA Cameron Parish,14
LA Catahoula Parish,30.9
LA Claiborne Parish,31.2
LA Concordia Parish,29
LA De Soto Parish,31.4
LA East Baton Rouge Parish,46.6
LA East Carroll Parish,34
LA East Feliciana Parish,32.6
LA Evangeline Parish,28.5
LA Franklin Parish,29
LA Grant Parish,31.5
LA Iberia Parish,35.2
LA Iberville Parish,42.7
LA Jackson Parish,33.4
LA Jefferson Davis Parish,26.9
LA Jefferson Parish,54.3
LA La Salle Parish,29.5
LA Lafayette Parish,39.3
LA Lafourche Parish,34.9
LA Lincoln Parish,34.5
