FIPS,state,county,Th1_Lower Coverage and Higher Refusal Rates,Th2_Lack of Access to Infomation,Th2_Socio-economically disadvantaged,Th3_Low Healthcare System Capacity,Th3_Weak Healthcare System,Th4_Barriers due to cost,Th4_Barriers due to Transportation,Th5_Lack of Designated Medical Home,Th5_Lack of Routine Care Visits
37043,North Carolina,Clay County,0.503342884,0.547596307,0.480738618,0.742438714,0.711238459,0.817255651,0.838268067,0.560012735,0.201528176
37045,North Carolina,Cleveland County,0.407513531,0.756446991,0.845272206,0.202164916,0.99904489,0.786373766,0.854823305,0.640241961,0.195160777
37047,North Carolina,Columbus County,0.596943649,0.94237504,0.944603629,0.070678128,0.996179561,0.795288125,0.751034702,0.798471824,0.248010188
37049,North Carolina,Craven County,0.462909901,0.304998408,0.514485833,0.270614454,0.867876472,0.730977396,0.606494747,0.720789557,0.224450812
37051,North Carolina,Cumberland County,0.609678446,0.23527539,0.814708691,0.397962432,0.991085642,0.695001592,0.518306272,0.798471824,0.227634511
37053,North Carolina,Currituck County,0.415154409,0.014008278,0.156319643,0.967844635,0.910219675,0.810569882,0.035657434,0.624005094,0.258198026
37055,North Carolina,Dare County,0.401782872,0.084686406,0.29417383,0.143903216,0.652021649,0.809614772,0.109837631,0.620821394,0.239095829
37057,North Carolina,Davidson County,0.310729067,0.525628781,0.636739892,0.875198981,0.907672716,0.752944922,0.524355301,0.640241961,0.231454951
37059,North Carolina,Davie County,0.280165552,0.242916269,0.370264247,0.200573066,0.891117479,0.684177014,0.104425342,0.581980261,0.215218083
37061,North Carolina,Duplin County,0.511620503,0.950015918,0.875835721,0.450175103,0.927411652,0.876154091,0.679401465,0.828080229,0.267749124
37063,North Carolina,Durham County,0.332059854,0.220948742,0.417064629,0.201528176,0.888570519,0.780643107,0.591212989,0.796243235,0.210124164
37065,North Carolina,Edgecombe County,0.423432028,0.914040115,0.985991722,0.373766316,0.985036613,0.714103789,0.868513212,0.64533588,0.142948106
37067,North Carolina,Forsyth County,0.310729067,0.339382362,0.599808978,0.204711875,0.861190704,0.735116205,0.605221267,0.683858644,0.186246418
37069,North Carolina,Franklin County,0.326010825,0.519898122,0.511302133,0.951926138,0.928685132,0.695001592,0.340974212,0.681948424,0.210124164
37071,North Carolina,Gaston County,0.35339064,0.345749761,0.607768227,0.153454314,0.972938555,0.714103789,0.400509392,0.640241961,0.227634511
