st_cty,low,med,high,tot_hesi
CO Weld County,0.12,0.08,0.05,0.25
CO Yuma County,0.15,0.09,0.06,0.3
CT Fairfield County,0.07,0.05,0.03,0.15
CT Hartford County,0.08,0.05,0.03,0.16
CT Litchfield County,0.08,0.06,0.03,0.17
CT Middlesex County,0.08,0.05,0.03,0.16
CT New Haven County,0.09,0.06,0.03,0.18
CT New London County,0.09,0.06,0.03,0.18
CT Tolland County,0.08,0.06,0.03,0.17
CT Windham County,0.1,0.07,0.04,0.21
DE Kent County,0.14,0.07,0.04,0.25
DE New Castle County,0.12,0.06,0.03,0.21
DE Sussex County,0.11,0.06,0.03,0.2
DC District of Columbia,0.08,0.07,0.04,0.19
FL Alachua County,0.17,0.12,0.08,0.37
FL Baker County,0.21,0.16,0.1,0.47
FL Bay County,0.21,0.16,0.1,0.47
FL Bradford County,0.25,0.18,0.12,0.55
FL Brevard County,0.17,0.13,0.08,0.38
FL Broward County,0.17,0.12,0.08,0.37
FL Calhoun County,0.23,0.17,0.12,0.52
FL Charlotte County,0.17,0.12,0.08,0.37
FL Citrus County,0.18,0.14,0.09,0.41
FL Clay County,0.19,0.14,0.09,0.42
FL Collier County,0.15,0.11,0.07,0.33
FL Columbia County,0.25,0.18,0.12,0.55
FL DeSoto County,0.2,0.14,0.1,0.44
FL Dixie County,0.25,0.18,0.12,0.55
FL Duval County,0.2,0.14,0.09,0.43
FL Escambia County,0.22,0.15,0.1,0.47
FL Flagler County,0.17,0.12,0.08,0.37
FL Franklin County,0.23,0.17,0.12,0.52
FL Gadsden County,0.23,0.17,0.12,0.52
FL Gilchrist County,0.25,0.18,0.12,0.55
FL Glades County,0.21,0.15,0.1,0.46
FL Gulf County,0.23,0.17,0.12,0.52
FL Hamilton County,0.24,0.17,0.12,0.53
FL Hardee County,0.2,0.14,0.1,0.44
FL Hendry County,0.21,0.15,0.1,0.46
FL Hernando County,0.2,0.14,0.1,0.44
FL Highlands County,0.21,0.14,0.1,0.45
FL Hillsborough County,0.18,0.13,0.08,0.39
FL Holmes County,0.21,0.16,0.1,0.47
FL Indian River County,0.17,0.13,0.08,0.38
FL Jackson County,0.23,0.17,0.12,0.52
FL Jefferson County,0.23,0.17,0.12,0.52
FL Lafayette County,0.24,0.17,0.12,0.53
FL Lake County,0.18,0.13,0.09,0.4
FL Lee County,0.17,0.12,0.08,0.37
FL Leon County,0.18,0.12,0.08,0.38
FL Levy County,0.25,0.18,0.12,0.55
FL Liberty County,0.23,0.17,0.12,0.52
FL Madison County,0.24,0.17,0.12,0.53
FL Manatee County,0.17,0.12,0.08,0.37
FL Marion County,0.2,0.14,0.1,0.44
FL Martin County,0.15,0.11,0.07,0.33
FL Miami-Dade County,0.16,0.11,0.07,0.34
FL Monroe County,0.19,0.14,0.09,0.42
FL Nassau County,0.21,0.16,0.1,0.47
FL Okaloosa County,0.21,0.15,0.1,0.46
FL Okeechobee County,0.21,0.15,0.1,0.46
FL Orange County,0.18,0.12,0.08,0.38
FL Osceola County,0.18,0.12,0.08,0.38
FL Palm Beach County,0.16,0.11,0.07,0.34
FL Pasco County,0.19,0.14,0.09,0.42
FL Pinellas County,0.17,0.12,0.08,0.37
FL Polk County,0.2,0.14,0.09,0.43
FL Putnam County,0.22,0.16,0.11,0.49
FL St. Johns County,0.16,0.12,0.08,0.36
FL St. Lucie County,0.19,0.14,0.09,0.42
FL Santa Rosa County,0.21,0.15,0.1,0.46
FL Sarasota County,0.15,0.11,0.07,0.33
FL Seminole County,0.16,0.11,0.07,0.34
FL Sumter County,0.15,0.11,0.08,0.34
FL Suwannee County,0.24,0.17,0.12,0.53
FL Taylor County,0.24,0.17,0.12,0.53
FL Union County,0.25,0.18,0.12,0.55
FL Volusia County,0.19,0.13,0.09,0.41
FL Wakulla County,0.23,0.17,0.12,0.52
FL Walton County,0.21,0.16,0.1,0.47
FL Washington County,0.21,0.16,0.1,0.47
GA Appling County,0.27,0.19,0.12,0.58
GA Atkinson County,0.27,0.19,0.12,0.58
GA Bacon County,0.27,0.19,0.12,0.58
GA Baker County,0.26,0.18,0.11,0.55
GA Baldwin County,0.22,0.15,0.09,0.46
GA Banks County,0.24,0.17,0.11,0.52
GA Barrow County,0.22,0.16,0.1,0.48
GA Bartow County,0.24,0.17,0.11,0.52
GA Ben Hill County,0.26,0.17,0.11,0.54
GA Berrien County,0.26,0.17,0.11,0.54
GA Bibb County,0.23,0.15,0.09,0.47
GA Bleckley County,0.25,0.17,0.11,0.53
GA Brantley County,0.27,0.19,0.12,0.58
GA Brooks County,0.26,0.17,0.11,0.54
GA Bryan County,0.25,0.16,0.1,0.51
GA Bulloch County,0.23,0.16,0.1,0.49
GA Burke County,0.25,0.16,0.1,0.51
GA Butts County,0.24,0.17,0.11,0.52
GA Calhoun County,0.26,0.18,0.11,0.55
GA Camden County,0.22,0.15,0.1,0.47
GA Candler County,0.25,0.17,0.11,0.53
GA Carroll County,0.25,0.18,0.11,0.54
GA Catoosa County,0.24,0.17,0.11,0.52
GA Charlton County,0.27,0.19,0.12,0.58
GA Chatham County,0.22,0.15,0.09,0.46
GA Chattahoochee County,0.23,0.15,0.09,0.47
GA Chattooga County,0.24,0.17,0.11,0.52
GA Cherokee County,0.19,0.14,0.09,0.42
GA Clarke County,0.21,0.13,0.08,0.42
GA Clay County,0.23,0.16,0.1,0.49
GA Clayton County,0.24,0.15,0.1,0.49
GA Clinch County,0.27,0.19,0.12,0.58
GA Cobb County,0.17,0.12,0.07,0.36
GA Coffee County,0.27,0.19,0.12,0.58
GA Colquitt County,0.24,0.16,0.1,0.5
GA Columbia County,0.18,0.13,0.08,0.39
GA Cook County,0.26,0.17,0.11,0.54
GA Coweta County,0.2,0.14,0.09,0.43
GA Crawford County,0.22,0.15,0.09,0.46
GA Crisp County,0.23,0.16,0.1,0.49
GA Dade County,0.24,0.17,0.11,0.52
GA Dawson County,0.21,0.15,0.09,0.45
GA Decatur County,0.26,0.18,0.11,0.55
GA DeKalb County,0.19,0.12,0.07,0.38
GA Dodge County,0.25,0.17,0.11,0.53
GA Dooly County,0.23,0.16,0.1,0.49
GA Dougherty County,0.24,0.16,0.1,0.5
GA Douglas County,0.21,0.14,0.09,0.44
GA Early County,0.26,0.18,0.11,0.55
GA Echols County,0.27,0.19,0.12,0.58
GA Effingham County,0.23,0.16,0.1,0.49
GA Elbert County,0.22,0.15,0.1,0.47
GA Emanuel County,0.25,0.17,0.11,0.53
GA Evans County,0.27,0.19,0.12,0.58
GA Fannin County,0.24,0.17,0.11,0.52
GA Fayette County,0.16,0.11,0.07,0.34
GA Floyd County,0.24,0.16,0.1,0.5
GA Forsyth County,0.14,0.1,0.07,0.31
GA Franklin County,0.24,0.17,0.11,0.52
GA Fulton County,0.17,0.11,0.07,0.35
GA Gilmer County,0.24,0.17,0.11,0.52
GA Glascock County,0.25,0.16,0.1,0.51
GA Glynn County,0.22,0.15,0.1,0.47
GA Gordon County,0.24,0.17,0.11,0.52
GA Grady County,0.26,0.18,0.11,0.55
GA Greene County,0.22,0.15,0.1,0.47
GA Gwinnett County,0.18,0.12,0.07,0.37
GA Habersham County,0.24,0.17,0.11,0.52
GA Hall County,0.21,0.15,0.09,0.45
GA Hancock County,0.25,0.16,0.1,0.51
GA Haralson County,0.24,0.16,0.1,0.5
GA Harris County,0.23,0.16,0.1,0.49
GA Hart County,0.24,0.17,0.11,0.52
GA Heard County,0.25,0.17,0.11,0.53
GA Henry County,0.2,0.14,0.08,0.42
GA Houston County,0.21,0.14,0.09,0.44
GA Irwin County,0.26,0.17,0.11,0.54
GA Jackson County,0.22,0.16,0.1,0.48
GA Jasper County,0.22,0.16,0.1,0.48
GA Jeff Davis County,0.27,0.19,0.12,0.58
GA Jefferson County,0.25,0.16,0.1,0.51
GA Jenkins County,0.25,0.16,0.1,0.51
GA Johnson County,0.25,0.17,0.11,0.53
GA Jones County,0.22,0.15,0.09,0.46
GA Lamar County,0.24,0.17,0.11,0.52
GA Lanier County,0.27,0.19,0.12,0.58
GA Laurens County,0.25,0.17,0.11,0.53
GA Lee County,0.24,0.16,0.1,0.5
GA Liberty County,0.25,0.16,0.1,0.51
GA Lincoln County,0.25,0.16,0.1,0.51
GA Long County,0.25,0.16,0.1,0.51
GA Lowndes County,0.24,0.16,0.1,0.5
GA Lumpkin County,0.21,0.15,0.09,0.45
GA McDuffie County,0.25,0.16,0.1,0.51
GA McIntosh County,0.22,0.15,0.1,0.47
GA Macon County,0.23,0.16,0.1,0.49
GA Madison County,0.22,0.15,0.1,0.47
GA Marion County,0.23,0.16,0.1,0.49
GA Meriwether County,0.25,0.17,0.11,0.53
GA Miller County,0.26,0.18,0.11,0.55
GA Mitchell County,0.26,0.18,0.11,0.55
GA Monroe County,0.22,0.15,0.09,0.46
GA Montgomery County,0.27,0.19,0.12,0.58
GA Morgan County,0.22,0.16,0.1,0.48
GA Murray County,0.24,0.17,0.11,0.52
GA Muscogee County,0.23,0.15,0.09,0.47
GA Newton County,0.23,0.15,0.1,0.48
GA Oconee County,0.22,0.15,0.1,0.47
GA Oglethorpe County,0.22,0.15,0.1,0.47
GA Paulding County,0.23,0.17,0.1,0.5
GA Peach County,0.22,0.15,0.09,0.46
GA Pickens County,0.24,0.17,0.11,0.52
GA Pierce County,0.27,0.19,0.12,0.58
GA Pike County,0.24,0.17,0.11,0.52
GA Polk County,0.24,0.16,0.1,0.5
GA Pulaski County,0.21,0.14,0.09,0.44
GA Putnam County,0.22,0.15,0.09,0.46
GA Quitman County,0.23,0.16,0.1,0.49
GA Rabun County,0.21,0.15,0.09,0.45
GA Randolph County,0.23,0.16,0.1,0.49
GA Richmond County,0.25,0.16,0.1,0.51
GA Rockdale County,0.23,0.15,0.1,0.48
GA Schley County,0.23,0.16,0.1,0.49
GA Screven County,0.23,0.16,0.1,0.49
GA Seminole County,0.26,0.18,0.11,0.55
GA Spalding County,0.24,0.17,0.11,0.52
