st_cty,vac_rate,low,med,high,tot_hesi,Th1_Historic_Undervaccination,Th2_Sociodemographic_Barriers,Th3_Resource_constrained_Healthcare_System,Th4_Healthcare_Accessibility_Barriers,party,believe_in_god,relig_rank,religious_index
IN Miami County,34.5,0.19,0.14,0.09,0.42,0.936007641,0.579114932,0.802610634,0.344157911,0,0.63,22,0.54
IN Monroe County,53.9,0.16,0.11,0.07,0.34,0.945240369,0.242916269,0.367398918,0.508755174,1,0.63,22,0.54
IN Montgomery County,39.4,0.19,0.14,0.09,0.42,0.905444126,0.243234639,0.58771092,0.271251194,0,0.63,22,0.54
IN Morgan County,46.3,0.18,0.13,0.08,0.39,0.917860554,0.039159503,0.625596944,0.221267112,0,0.63,22,0.54
IN Newton County,26.8,0.18,0.13,0.08,0.39,0.933142311,0.423432028,0.929958612,0.210442534,0,0.63,22,0.54
IN Noble County,33.9,0.2,0.15,0.1,0.45,0.910856415,0.522763451,0.847182426,0.552371856,0,0.63,22,0.54
IN Ohio County,63.4,0.17,0.13,0.08,0.38,0.94333015,0.339382362,0.859598854,0.162050302,0,0.63,22,0.54
IN Orange County,47.9,0.18,0.14,0.09,0.41,0.969436485,0.745940783,0.134988857,0.652658389,0,0.63,22,0.54
IN Owen County,36.9,0.18,0.14,0.09,0.41,0.937281121,0.568927093,0.773638968,0.240369309,0,0.63,22,0.54
IN Parke County,33.9,0.19,0.14,0.09,0.42,0.967526266,0.750397962,0.846227316,0.851957975,0,0.63,22,0.54
IN Perry County,48.8,0.17,0.13,0.08,0.38,0.989175422,0.496975486,0.581661891,0.183381089,0,0.63,22,0.54
IN Pike County,49.6,0.17,0.13,0.08,0.38,0.991085642,0.486150907,0.738936644,0.102833493,0,0.63,22,0.54
IN Porter County,49.8,0.15,0.11,0.07,0.33,0.94046482,0.124801019,0.608404967,0.123527539,0,0.63,22,0.54
IN Posey County,40.7,0.15,0.11,0.07,0.33,0.914995224,0.055396371,0.895893028,0.147405285,0,0.63,22,0.54
IN Pulaski County,38.4,0.18,0.13,0.08,0.39,0.995861191,0.422795288,0.786373766,0.229226361,0,0.63,22,0.54
IN Putnam County,36.6,0.18,0.13,0.08,0.39,0.957975167,0.374084686,0.810888252,0.340974212,0,0.63,22,0.54
IN Randolph County,37.4,0.2,0.14,0.09,0.43,0.994587711,0.567016874,0.740528494,0.263610315,0,0.63,22,0.54
IN Ripley County,39.8,0.17,0.13,0.08,0.38,0.990767272,0.348296721,0.721107927,0.512257243,0,0.63,22,0.54
IN Rush County,40.6,0.19,0.14,0.09,0.42,0.934415791,0.563833174,0.630372493,0.259471506,0,0.63,22,0.54
IN Scott County,37.8,0.19,0.14,0.09,0.42,0.960840497,0.696275072,0.719197708,0.663801337,0,0.63,22,0.54
IN Shelby County,49,0.18,0.13,0.08,0.39,0.980897803,0.281120662,0.795606495,0.23718561,0,0.63,22,0.54
IN Spencer County,38.2,0.17,0.13,0.08,0.38,0.924864693,0.403056351,0.722699777,0.11493155,0,0.63,22,0.54
IN St. Joseph County,51.4,0.17,0.12,0.08,0.37,0.956064947,0.633556192,0.216809933,0.524036931,1,0.63,22,0.54
